Time                  | Process | # Requests | Amt of Data Transferred
______________________________________________________________________
02/23/15 00:52:13:723 |          1 |                     255
02/23/15 00:52:13:723 |          1 |                     255
02/23/15 00:52:23:787 |         11 |                    2805
02/23/15 00:52:23:787 |          8 |                    2040
02/23/15 00:52:23:787 |         11 |                    2805
02/23/15 00:52:23:787 |          8 |                    2040
02/23/15 00:52:23:787 |         10 |                    2550
02/23/15 00:52:23:787 |          7 |                    1785
02/23/15 00:52:23:787 |         10 |                    2550
02/23/15 00:52:23:787 |          7 |                    1785
02/23/15 00:52:23:787 |         10 |                    2550
02/23/15 00:52:23:787 |          6 |                    1530
02/23/15 00:52:23:787 |          9 |                    2295
02/23/15 00:52:23:787 |          6 |                    1530
02/23/15 00:52:23:787 |          9 |                    2295
02/23/15 00:52:23:787 |          6 |                    1530
02/23/15 00:52:23:787 |          9 |                    2295
02/23/15 00:52:23:787 |          6 |                    1530
02/23/15 00:52:23:787 |          8 |                    2040
02/23/15 00:52:23:787 |          5 |                    1275
02/23/15 00:52:23:787 |          8 |                    2040
02/23/15 00:52:23:787 |          5 |                    1275
02/23/15 00:52:33:403 |         19 |                    4845
02/23/15 00:52:33:403 |         17 |                    4335
02/23/15 00:52:33:403 |         20 |                    5100
02/23/15 00:52:33:403 |         17 |                    4335
02/23/15 00:52:33:403 |         19 |                    4845
02/23/15 00:52:33:403 |         16 |                    4080
02/23/15 00:52:33:403 |         19 |                    4845
02/23/15 00:52:33:403 |         16 |                    4080
02/23/15 00:52:33:403 |         19 |                    4845
02/23/15 00:52:33:403 |         16 |                    4080
02/23/15 00:52:33:403 |         19 |                    4845
02/23/15 00:52:33:403 |         15 |                    3825
02/23/15 00:52:33:403 |         18 |                    4590
02/23/15 00:52:33:403 |         14 |                    3570
02/23/15 00:52:33:403 |         18 |                    4590
02/23/15 00:52:33:403 |         15 |                    3825
02/23/15 00:52:33:403 |         18 |                    4590
02/23/15 00:52:33:403 |         14 |                    3570
02/23/15 00:52:33:403 |         17 |                    4335
02/23/15 00:52:33:403 |         14 |                    3570
02/23/15 00:52:43:468 |         19 |                    4845
02/23/15 00:52:43:468 |         17 |                    4335
02/23/15 00:52:43:468 |         20 |                    5100
02/23/15 00:52:43:468 |         17 |                    4335
02/23/15 00:52:43:468 |         19 |                    4845
02/23/15 00:52:43:468 |         16 |                    4080
02/23/15 00:52:43:468 |         20 |                    5100
02/23/15 00:52:43:468 |         16 |                    4080
02/23/15 00:52:43:468 |         19 |                    4845
02/23/15 00:52:43:468 |         17 |                    4335
02/23/15 00:52:43:468 |         19 |                    4845
02/23/15 00:52:43:468 |         15 |                    3825
02/23/15 00:52:43:468 |         18 |                    4590
02/23/15 00:52:43:468 |         14 |                    3570
02/23/15 00:52:43:468 |         18 |                    4590
02/23/15 00:52:43:468 |         15 |                    3825
02/23/15 00:52:43:468 |         18 |                    4590
02/23/15 00:52:43:468 |         14 |                    3570
02/23/15 00:52:43:468 |         17 |                    4335
02/23/15 00:52:43:468 |         14 |                    3570
02/23/15 00:52:53:855 |         19 |                    4845
02/23/15 00:52:53:855 |         17 |                    4335
02/23/15 00:52:53:855 |         20 |                    5100
02/23/15 00:52:53:855 |         17 |                    4335
02/23/15 00:52:53:855 |         19 |                    4845
02/23/15 00:52:53:855 |         16 |                    4080
02/23/15 00:52:53:855 |         20 |                    5100
02/23/15 00:52:53:855 |         16 |                    4080
02/23/15 00:52:53:855 |         19 |                    4845
02/23/15 00:52:53:855 |         17 |                    4335
02/23/15 00:52:53:855 |         19 |                    4845
02/23/15 00:52:53:855 |         15 |                    3825
02/23/15 00:52:53:855 |         18 |                    4590
02/23/15 00:52:53:855 |         14 |                    3570
02/23/15 00:52:53:855 |         18 |                    4590
02/23/15 00:52:53:855 |         15 |                    3825
02/23/15 00:52:53:855 |         18 |                    4590
02/23/15 00:52:53:855 |         14 |                    3570
02/23/15 00:52:53:855 |         17 |                    4335
02/23/15 00:52:53:855 |         14 |                    3570
02/23/15 00:53:03:587 |         19 |                    4845
02/23/15 00:53:03:587 |         17 |                    4335
02/23/15 00:53:03:587 |         20 |                    5100
02/23/15 00:53:03:587 |         17 |                    4335
02/23/15 00:53:03:587 |         19 |                    4845
02/23/15 00:53:03:587 |         16 |                    4080
02/23/15 00:53:03:587 |         20 |                    5100
02/23/15 00:53:03:587 |         16 |                    4080
02/23/15 00:53:03:587 |         19 |                    4845
02/23/15 00:53:03:587 |         17 |                    4335
02/23/15 00:53:03:587 |         19 |                    4845
02/23/15 00:53:03:587 |         15 |                    3825
02/23/15 00:53:03:587 |         18 |                    4590
02/23/15 00:53:03:587 |         14 |                    3570
02/23/15 00:53:03:587 |         18 |                    4590
02/23/15 00:53:03:587 |         15 |                    3825
02/23/15 00:53:03:587 |         18 |                    4590
02/23/15 00:53:03:587 |         14 |                    3570
02/23/15 00:53:03:587 |         17 |                    4335
02/23/15 00:53:03:587 |         14 |                    3570
02/23/15 00:53:13:560 |         19 |                    4845
02/23/15 00:53:13:560 |         17 |                    4335
02/23/15 00:53:13:560 |         20 |                    5100
02/23/15 00:53:13:560 |         17 |                    4335
02/23/15 00:53:13:560 |         19 |                    4845
02/23/15 00:53:13:560 |         16 |                    4080
02/23/15 00:53:13:560 |         20 |                    5100
02/23/15 00:53:13:560 |         16 |                    4080
02/23/15 00:53:13:560 |         19 |                    4845
